,ISIN,DESCRIZIONE,ULTIMO,CEDOLA,SCADENZA, ,Rendimento effettivo a scadenza lordo,Rendimento effettivo a scadenza netto
17,IT0004848492,Btp Coupon Strip Zc Mg31 Eur,83.2,,01/05/2031,,3.01,"2,66"
23,IT0005083057,"Btp Tf 3,25% St46 Eur",89.3,"1,625",01/09/2046,,4.03,"3,59"
25,IT0005094088,"Btp Tf 1,65% Mz32 Eur",90.74,"0,825",01/03/2032,,3.15,"2,93"
27,IT0005138828,"Btpi Tf 1,25% St32 Eur",99.59,"0,625",15/09/2032,,3.73,"3,01"
28,IT0005162828,"Btp Tf 2,7% Mz47 Eur",81.13,"1,35",01/03/2047,,4.03,"3,64"
30,IT0005177909,"Btp Tf 2,25% St36 Eur",87.4,"1,125",01/09/2036,,3.62,"3,31"
32,IT0005217390,"Btp Tf 2,8% Mz67 Eur",75.03,"1,40",01/03/2067,,4.08,"3,64"
33,IT0005240350,"Btp Tf 2,45% St33 Eur",93.75,"1,225",01/09/2033,,3.32,"2,99"
36,IT0005273013,"Btp Tf 3,45% Mz48 Eur",91.34,"1,725",01/03/2048,,4.06,"3,6"
38,IT0005321325,"Btp Tf 2,95% St38 Eur",91.68,"1,475",01/09/2038,,3.77,"3,38"
44,IT0005358806,"Btp Tf 3,35% Mz35 Eur",98.88,"1,675",01/03/2035,,3.51,"3,08"
45,IT0005363111,"Btp Tf 3,85% St49 Eur",96.73,"1,925",01/09/2049,,4.1,"3,6"
48,IT0005377152,"Btp Tf 3,1% Mz40 Eur",91.58,"1,55",01/03/2040,,3.88,"3,46"
50,IT0005387052,"Btpi Tf 0,4% Mg30 Eur",96.29,"0,20",15/05/2030,,3.48,"2,75"
53,IT0005398406,"Btp Tf 2,45% St50 Eur",74.86,"1,225",01/09/2050,,4.07,"3,7"
54,IT0005402117,"Btp Tf 1,45% Mz36 Eur",80.8,"0,725",01/03/2036,,3.6,"3,39"
58,IT0005413171,"Btp Tf 1,65% Dc30 Eur",92.95,"0,825",01/12/2030,,3.01,"2,78"
59,IT0005415291,Btp Futura Lg30 Eur,91.21,"0,65",14/07/2030,,3.19,3
60,IT0005415416,"Btpi Tf 0,65% Mg26 Eur",99.86,"0,325",15/05/2026,,3.2,"1,14"
63,IT0005421703,"Btp Tf 1,8% Mz41 Eur",75.23,"0,90",01/03/2041,,3.92,"3,65"
64,IT0005422891,"Btp Tf 0,90% Ap31 Eur",88.21,"0,45",01/04/2031,,3.05,"2,93"
65,IT0005425233,"Btp Tf 1,7% St51 Eur",63.14,"0,85",01/09/2051,,3.99,"3,7"
67,IT0005433195,"Btp Tf 0,95% Mz37 Eur",74.06,"0,475",01/03/2037,,3.66,"3,52"
69,IT0005436693,"Btp Tf 0,6% Ag31 Eur",85.69,"0,30",01/08/2031,,3.09,"3,01"
70,IT0005436701,"Btpi Tf 0,15% Mg51 Eur",63.94,"0,075",15/05/2051,,4.26,"3,96"
72,IT0005438004,"Btpgreen 1,5%Ap45eur",66.57,"0,75",30/04/2045,,3.94,"3,7"
73,IT0005441883,"Btp Tf 2,15% Mz72 Eur",62.36,"1,075",01/03/2072,,3.94,"3,55"
74,IT0005442097,Btp Futura Ap37 Eur,77.23,"0,375",27/04/2037,,3.96,"3,74"
76,IT0005449969,"Btp Tf 0,95% Dc31 Eur",86.9,"0,475",01/12/2031,,3.13,3
78,IT0005466013,"Btp Tf 0,95% Gn32 Eur",85.7,"0,475",01/06/2032,,3.19,"3,05"
79,IT0005466351,Btp Futura Nv33 Eur,84.51,"0,375",16/11/2033,,3.54,"3,34"
81,IT0005480980,"Btp Tf 2,15% St52 Eur",68.77,"1,075",01/09/2052,,4.08,"3,73"
82,IT0005482994,"Btpi Tf 0,1% Mg33 Eur",88.82,"0,05",15/05/2033,,3.9,"3,45"
85,IT0005494239,"Btp Tf 2,5% Dc32 Eur",95.04,"1,25",01/12/2032,,3.25,"2,9"
87,IT0005496770,"Btp Tf 3,25% Mz38 Eur",95.02,"1,625",01/03/2038,,3.77,"3,34"
131,IT0005588881,Btpi Fx May36 Eur,99.63,"0,90",15/05/2036,,4.2,"3,71"
140,IT0005619546,Btp Fx 3.15% Nov31 Eur,99.93,"1,575",15/11/2031,,3.18,"2,78"
146,IT0005635583,Btp Fx 3.85% Oct40 Eur,99.28,"0,44423",01/10/2040,,3.95,"3,45"
